,THOR Address,Rune_Balance_TC_x,Pooled,Bonded_RUNE_TC
0,thor1f6cl37zggsu9mja6p4kgnvv35u0ddywjuzcfge,1243.48012296,0.0,
1,thor1v7agatdxmlg2yrkxttlkkkfl2erpwgzac9v0n8,0.0,0.0,
2,thor16fvher0fuw5fhwj6evdhklj067njsvyxqj67q8,0.0,0.0,
3,thor1z2vf87v8q674y5awzlp0gcgk8hktc9rkg5uxpv,0.0,0.0,
4,thor14sanmhejtzxxp9qeggxaysnuztx8f5jrafj4m0,1008.51332418,0.0,
5,thor1r274700de2rlqfqtsu47h3gpejedfar277ddmd,0.0,0.0,
6,thor1a5h4kvjvtgkmtk8xcupp9twvtupdqapfz5x8e0,0.0,0.0,
7,thor14440cuv3j29rrjyjr0ryujny0a3wzpc0kcj093,995.03731859,0.0,
8,thor166t3n7pwesny95vn6jxzgqe2y955n9jvt6j8nf,107.04709342,0.5311777,
9,thor1ef4p54l9mwvsus4jltrmmd3sujev02vqy4p87g,0.19617811,0.0,
10,thor17quf7trge8pylphx3llkajrjp0mqwlsh9t8zx3,0.0,0.0,
11,thor15wh9quxnxyh0r6vrcnczw5n8audyklw4e4hg3a,0.0,0.0,
12,thor1lg8fs4thlvp2altt9rls60s0sl6mtpd4nj426e,33.49837193,315.89698374,
13,thor149qyzz9rvxccn2xh3avsalzs5xzd9swzxvnzuz,1255.66295537,164.6827458,
14,thor1yna7qjc357yf8p6hqjtlfmz3myzccduudcrvdc,0.0,0.0,
15,thor14k8mgyztke4z8zhzyaq8cl8h84pf4pdctvhp3u,16.31668831,1304.6298473399997,
16,thor16sa3k77lffrdqm854djjr9lgzv777sadrhpgtt,160420.39604111,0.0,1161004.57342584
17,thor1mgsdhpz6j7pp296tc38x0f2amlk33kg2u9z5jk,0.0,0.0,
18,thor19erzps2w2dw2r2433l4r276zzsj3lnk05yknwx,549.98,0.0,
19,thor1ryx5ljswhtv3dkdxs6kd78jlz4nl7df000t8nk,1124.62012433,0.0,
20,thor1kw75crhq784esnna3r8rz65cehmwefe76dy9hr,1563.75,0.0,
21,thor147v4vzf7kwyyhlukml94xrzj9epg9tu6v4gs2j,992.49414105,0.0,
22,thor10yv78nskyyfsl03e9jawmhuyl8zu59d8cp44m8,3258.27795401,995.26235342,
23,thor1a5tcljl4v2maaef6wc369r9mcfwn59m3awsk3m,0.0,0.0,
24,thor1we3enljeee65gw0ph9y7ucdq9y29crxkaencef,51547.16855206,0.43679991,
25,thor1tua6tdaza25kpwqx20dv34wn9szg7d2muhht6s,12162.40155947,1748.98560815,
26,thor1g9um0aj5fry8humrk6qgjzsfktj2hhuzuenv4e,1853.1281,0.0,
27,thor19zp06sp8fnldzaed4rmzq8p9zqvd656fpdx5n4,6.57261983,0.0,
28,thor1rerq0lxmhz9htg7ap7gmcck7uha7yfzm3v9zlq,7252.42055158,0.0,
29,thor16pzkkp7crj56zfnyl07vp9aueyapsqtr3353rc,6242.77734152,0.0,
30,thor13mpf4s9ytmdsnxxwzc9fjg9e3kwhpchk5t2uds,73.86768617,0.0,
31,thor1yfg2xsafjlqhc9x0fdcaek6ghxvveeea3k6md6,588.76271311,0.0,
32,thor16fpyktrqntc2q2hr98p366k6peme7mlp8w6sgw,0.39515433,673.97128962,
